FIP_CODE,NAME,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
01001,"Autauga County, AL",4.1,4.8,5.1,4.8,3.8,3.3,3.3,5.1,9.7,8.9,8.4,6.9,6.2,5.9,5.2
01003,"Baldwin County, AL",4.3,5,5,5.2,4,3.2,3.1,4.6,9.8,10,9,7.5,6.6,6.2,5.5
01005,"Barbour County, AL",7.4,7.7,7.1,7.2,5.8,5.7,6.3,8.8,14.3,12.3,11.5,11.5,10.3,10.6,8.9
01007,"Bibb County, AL",6.8,7,6,5.5,4.5,4.2,4.1,5.8,13.3,11.4,10.5,8.6,7.9,7.2,6.6
01009,"Blount County, AL",3.6,5.4,4.6,4.2,3.6,3.2,3.2,4.7,10,9.8,8.7,6.9,6.3,6.2,5.4
01011,"Bullock County, AL",9.9,10.2,11,11.6,9.5,8.9,9.4,10.5,15.6,11.8,11.6,10.4,9.4,8.9,7.8
01013,"Butler County, AL",7.5,7.9,8.7,9.5,6.5,5.7,6.2,8.5,16.4,13.6,12.5,11.6,10.3,8.6,7.5
01015,"Calhoun County, AL",5.5,6,6,5.5,4.5,4.1,3.9,5.7,11.1,11.4,10.3,8.9,8.8,8,7
01017,"Chambers County, AL",5.4,6.7,6.4,7,5.7,5.8,6.5,14.4,19.6,14.9,12,9.9,8,6.7,6
01019,"Cherokee County, AL",4.5,4.7,4.9,4.8,4.4,4.2,4.2,5.7,11.7,10.6,9.7,8,6.6,5.8,5.4
01021,"Chilton County, AL",4.8,5.1,5,4.7,3.9,3.6,3.4,5.1,10.6,10.3,9.1,7.2,6.6,6.3,5.7
01023,"Choctaw County, AL",7.1,8.8,10,8.6,6.6,5.6,5.9,8.3,13.5,13.3,13.1,10.3,9.3,9.1,9.1
01025,"Clarke County, AL",9.7,9.1,8.6,8.9,6.4,6.2,6.1,9,16.5,19.9,18.8,15,13.8,12.2,11.8
01027,"Clay County, AL",6,6.2,7.3,6.4,5,4.5,5.5,7.9,16.7,14.5,11.8,9.4,8.4,7.2,6.2
01029,"Cleburne County, AL",5.2,5,6.1,5.3,3.9,3.5,3.7,5.1,10.2,10,9.7,8.2,7.7,6.6,6
01031,"Coffee County, AL",6.2,5.2,5.5,5.4,3.9,3.7,3.8,4.8,8.5,8.6,8.1,7.1,6.9,6.7,5.9
01033,"Colbert County, AL",6.8,8.3,7.5,7.1,5.4,4.7,4.6,6.5,11.6,11.5,10.2,8.8,8.2,8.3,7.9
01035,"Conecuh County, AL",7.3,8.2,8.6,8.5,6.2,5.7,6.4,9.4,19.9,17.2,15.2,11.9,10.8,10.4,9.2
01037,"Coosa County, AL",6.8,9.3,8.2,7.1,5,5.6,5.8,8.3,16,15.4,12.5,9.4,9.2,8.8,6.7
01039,"Covington County, AL",6.3,5.9,7,6.7,4.5,3.9,3.9,5.9,10.8,10.3,9.8,8.4,8.1,7.8,7.1
01041,"Crenshaw County, AL",6,6.1,6.8,6.9,4.9,4,4.3,5.6,10.4,10.2,9.9,8.3,7.6,6.9,6
01043,"Cullman County, AL",4.6,6,5.8,5.2,4,3.4,3.4,4.9,10.3,10.4,9.5,7.7,6.6,6.1,5.3
01045,"Dale County, AL",5.5,5.7,5.3,5.4,4.5,4.7,4,5.4,9.6,8.8,8.3,7.4,7.4,7.1,6.4
01047,"Dallas County, AL",9.2,11.4,11.4,10.1,8.6,8.2,8.3,11.1,21.1,16.9,15.1,12.9,12.3,11.3,9.6
01049,"DeKalb County, AL",4.8,5.1,5.8,5.8,5.1,4.2,4.3,5.8,14.3,12.7,11.8,9.1,7.6,6.9,6
01051,"Elmore County, AL",4.2,4.8,5.1,4.9,3.7,3.4,3.3,5.1,9.5,9.1,8.4,6.9,6.2,5.7,5.1
01053,"Escambia County, AL",6.1,8.7,8.6,7.6,5.6,5,5.3,7.6,13.5,11.8,10.8,9.2,8.6,8,7
01055,"Etowah County, AL",6.6,6.4,6.5,6.4,4.7,4.2,4.5,6,11.5,10.9,10,8.2,7.6,7.1,6.1
01057,"Fayette County, AL",6.3,8.5,6.9,6.9,4.5,4.2,4.7,7.2,14,13,11.1,8.6,8.3,7.9,7
01059,"Franklin County, AL",7.6,11.2,9.6,7,5.3,4.6,4.6,7.4,13.4,10.7,9.6,8.4,8.1,7.8,6.4
01061,"Geneva County, AL",6.4,4.9,5.6,4.9,3.9,3.8,3.5,5.5,10.8,10.4,9.2,7.6,7,6.7,5.9
01063,"Greene County, AL",7.1,8.5,8.5,8.8,6.7,5.6,6.4,8.5,15.3,17.3,17.3,13.6,12.8,12.5,11
01065,"Hale County, AL",7.2,8.4,8.5,7.6,5.4,5.3,5.4,7.4,14.3,15.1,13.8,11.5,11.7,9.9,7.8
01067,"Henry County, AL",5.4,6,5.8,5.6,4.3,4,5.4,7.7,11.2,10.9,9.7,8.3,7.7,7.5,6.8
01069,"Houston County, AL",4.3,4.7,4.9,4.7,3.8,3.4,3.3,4.9,9.3,9.1,8.6,7.6,6.9,6.8,6.2
01071,"Jackson County, AL",6.5,7,7,6.9,5,4.5,4.5,6.2,12.8,11.8,10.3,8.6,7.9,7.3,6.6
01073,"Jefferson County, AL",4.3,5.2,5.5,5.3,4.4,4,3.9,5.4,10.8,10.3,9.3,7.4,6.7,6.3,5.8
01075,"Lamar County, AL",8,8.4,8.8,8.2,5.6,5.2,6.3,8,16,13.2,9.7,7.5,7.1,7,6.3
01077,"Lauderdale County, AL",6.5,8.6,7.3,6.4,5.1,4.2,4.3,5.7,10.7,10.1,9.1,7.7,7.1,7.2,6.9
01079,"Lawrence County, AL",5.9,6.8,6.7,6.4,5.6,4.8,4.1,6.5,13.6,12.6,10.9,9,8.4,8.3,7.7
01081,"Lee County, AL",4.1,4.6,4.7,4.5,3.7,3.4,3.6,5.2,9.4,9,8.1,6.8,5.9,5.6,5.1
01083,"Limestone County, AL",4.4,5.3,5.5,5.2,4.4,3.7,3.3,4.7,9.8,9.6,8.6,6.9,6.3,6.1,5.5
01085,"Lowndes County, AL",7.2,8.9,9.2,9.3,8,7.6,7.5,10.9,19.3,18.5,17.7,15.4,14.2,12.9,11.6
01087,"Macon County, AL",5.8,6.4,7,7,5.9,5.3,5.4,7.4,12.2,14.8,14,10.7,9.7,9.1,8.1
01089,"Madison County, AL",3.8,4.6,4.8,4.7,3.6,3.3,3.1,4.2,8,8.3,8.3,7,6.3,6.2,5.5
01091,"Marengo County, AL",5.9,6.4,6.3,6.2,5.7,4.6,5.3,7.4,14.2,13.7,12.6,10.2,8.9,8,7.7
01093,"Marion County, AL",8.7,8.7,7.2,6.4,4.5,4.4,5.2,8,16.6,13.6,11.2,8.9,7.9,7.9,7
01095,"Marshall County, AL",5.5,5.9,5.6,4.9,3.9,3.5,3.4,4.7,10.2,9.6,9.4,7.8,6.8,6.7,5.8
01097,"Mobile County, AL",5.6,6.5,7,6.6,5,4.2,4,5.7,11.3,11.3,10.8,9.2,8.5,7.8,7
01099,"Monroe County, AL",7.2,8.4,8.4,7.5,6.2,6,6.4,10.2,19.5,18.1,15.7,12.6,11.9,11.1,10.1
01101,"Montgomery County, AL",4.5,5.3,5.8,5.8,4.6,4.2,4.1,5.9,10.5,10,9.7,8.1,7.3,6.9,6.2
01103,"Morgan County, AL",5.1,6.4,6.6,6.1,4.5,4,3.5,5.2,10.8,10.8,9.4,7.8,6.9,6.6,5.8
01105,"Perry County, AL",11,11.8,10.7,10.2,9.1,8.4,8.4,11.3,19.9,16.8,16.5,13.4,13.6,12.2,10
01107,"Pickens County, AL",8.4,8.2,8.1,7.6,5.4,5.1,5,7.1,13.7,13.1,12,10.2,9.4,8.2,6.8
